n	S21	
n	U	
n	S25	
o	S28	 -о	 -и	 -а	 -ів	 -ові, -у	 -ам	 -а	 -ів	 -ом	 -ами	при -ові, -у	при -ах	 -у, -о	 -и	
o	S1/fa	 -я	 -ї	 -ї	 -й	 -ї	 -ям	 -ю	 -й	 -єю	 -ями	на/в -ї	на/в -ях	 -є	 -ї	
o	S1/ma	 -єць	 -йці	 -йця	 -йців	 -йцеві, -йцю	 -йцям	 -йця	 -йців	 -йцем	 -йцями	на/в -йцеві, -йці, -йцю	на/в -йцях	 -йцю	 -йці	
o	S1/ma	 -	 -и	 -а	 -ів	 -ові, -у	 -ам	 -а	 -и, -ів	 -ом	 -ами	на/в -ові, -у	на/в -ах	 -у	 -и	
o	S1/ma	 -к	 -ки	 -ка	 -ків	 -кові, -ку	 -кам	 -ка	 -ків	 -ком	 -ками	на/в -кові, -ку	на/в -ках	 -че	 -ки	
o	S1/f	 -га		 -ги		 -зі		 -гу		 -гою		на/в -зі		 -го		
o	S1/p		 -ки		 -ок		 -кам		 -ки		 -ками		на/в -ках		 -ки	
o	S1/m	 -	 -і	 -а	 -ів	 -у, -еві	 -ам	 -	 -і	 -ем	 -ами	на/в -і, -у	на/в -ах	 -е	 -і	
o	S1/f	 -га	 -ги	 -ги	 -г	 -зі	 -гам	 -гу	 -ги	 -гою	 -гами	на/в -зі	на/в -гах	 -го	 -ги	
o	S2	 -ій	 -я	 -є	 -і	 -ього	 -ьої	 -ього	 -іх	 -ьому	 -ій	 -ьому	 -ім	 -ій, -ього	 -ю	 -є	 -і, -іх	 -ім	 -ьою	 -ім	 -іми	на/в -ьому, -ім	на/в -ій	на/в -ьому, -ім	на/в -іх	
o	S1/p		 -и		 -		 -ам		 -и		 -ами		на/в -ах		 -и	
o	S1/m	 -	 -і	 -я	 -ів	 -ю, -еві	 -ям	 -	 -і	 -ем	 -ями	на/в -і, -ю	на/в -ях	 -ю	 -і	
o	S2	 -ій	 -я	 -є	 -і	 -ього	 -ьої	 -ього	 -іх	 -ьому	 -ій	 -ьому	 -ім	 -ій	 -ю	 -є	 -і	 -ім	 -ьою	 -ім	 -іми	на/в -ьому, -ім	на/в -ій	на/в -ьому, -ім	на/в -іх	
o	S1/p		 -и		 -ів		 -ам		 -и		 -ами		на/в -ах		 -и	
o	S1/m	 -ід	 -оди	 -оду	 -одів	 -оду, -одові	 -одам	 -ід	 -оди	 -одом	 -одами	на/в -оді	на/в -одах	 -оде	 -оди	
o	S1/m	 -г	 -ги	 -га	 -гів	 -гу, -гові	 -гам	 -г	 -ги	 -гом	 -гами	на/в -зі	на/в -гах	 -гу	 -ги	
o	S1/m	 -іп	 -епи	 -епа	 -епів	 -епу, -епові	 -епам	 -іп	 -епи	 -епом	 -епами	на/в -епі	на/в -епах	 -епе	 -епи	
